Phylum,Class,Order,Family,Genus
Proteobacteria,Gamma Proteobacteria,Pseudomonadales,Pseudomonadadaceae,Pseudomonas a
Proteobacteria,Beta Proteobacteria,Neisseriales,Neisseriaceae,Chromobacterium
,,,,
Proteobacteria,gammaproteobacteria,Alteromonadales,Shewanellaceae,Shewanella
,,,,Shewanella
Proteobacteria,Gamma Proteobacteria,Pseudomonadales,Pseudomonadadaceae,Pseudomonas b
Proteobacteria,Gamma Proteobacteria,Pseudomonadales,Pseudomonadadaceae,Pseuomonas c
,,,,Shewanella
Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Plesiomonas
Proteobacteria,gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio or Bacillus
,,,,Shewanella
Proteobacteria,gammaproteobacteria,Aeromonadales,Aeromonadaceae,Aeromonas
Proteobacteria,gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Lysobacter
Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus
,,,,Bacillus
,,,,
Actinobacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Oerskovia
Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Serratia
Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Listonella
,,,,Vibrio or Listonella
,,,,Vibrio
,,,,
Phylum,Class,Order,Family,Genus
Proteobacteria,Gamma Proteobacteria,Pseudomonadales,Pseudomonadadaceae,Pseudomonas a
Proteobacteria,Beta Proteobacteria,Neisseriales,Neisseriaceae,Chromobacterium
,,,,
Proteobacteria,gammaproteobacteria,Alteromonadales,Shewanellaceae,Shewanella
Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Plesiomonas
Proteobacteria,gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio or Bacillus
Proteobacteria,gammaproteobacteria,Aeromonadales,Aeromonadaceae,Aeromonas
Proteobacteria,gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Lysobacter
Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus
Actinobacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Oerskovia
Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Serratia
Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Listonella
